ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code
2411345,HH725277,10/19/2002 12:00:00 PM,002XX N KENNETH AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,APARTMENT,True,False,1113,11.0,28.0,26.0,26
2517037,HH862991,12/27/2002 08:30:00 PM,056XX W DIVISION ST,031A,ROBBERY,ARMED: HANDGUN,OTHER,False,False,2531,25.0,29.0,25.0,03
2520028,HH850465,12/20/2002 02:45:00 PM,052XX W PALMER ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,2515,25.0,37.0,19.0,08B
2588893,HJ182855,02/04/2003 05:00:00 PM,100XX W OHARE ST,0890,THEFT,FROM BUILDING,AIRPORT/AIRCRAFT,False,False,1651,16.0,41.0,76.0,06
2617718,HJ217333,03/03/2003 09:00:00 AM,047XX S JUSTINE ST,0460,BATTERY,SIMPLE,STREET,False,False,931,9.0,20.0,61.0,08B
2619433,HJ221862,03/06/2003 01:45:00 PM,020XX N CLEVELAND AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,1812,18.0,43.0,7.0,26
2649176,HJ260708,03/25/2003 10:45:00 PM,019XX N HUMBOLDT BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1421,14.0,35.0,22.0,14
2676314,HJ289006,04/09/2003 01:00:00 AM,041XX W OAKDALE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,2523,25.0,31.0,21.0,05
2689756,HJ313074,04/20/2003 10:00:00 PM,046XX W WEST END AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,1113,11.0,28.0,25.0,26
2709127,HJ335426,05/01/2003 02:23:00 PM,060XX S MORGAN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,712,7.0,16.0,68.0,08B
2742570,HJ377579,05/21/2003 12:30:00 PM,068XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,322,3.0,20.0,69.0,08B
2758918,HJ400647,05/31/2003 08:00:00 PM,033XX S MICHIGAN AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2112,2.0,3.0,35.0,06
2895993,HJ562622,08/14/2003 08:19:21 PM,043XX W DRUMMOND PL,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,ALLEY,False,False,2524,25.0,31.0,20.0,14
2917584,HJ597629,08/30/2003 06:00:00 AM,020XX W POLK ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1224,12.0,2.0,28.0,06
2922699,HJ603454,09/02/2003 06:49:04 PM,016XX W 78TH ST,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,True,False,611,6.0,17.0,71.0,26
2951826,HJ640286,09/19/2003 04:37:17 PM,053XX W WASHINGTON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1522,15.0,28.0,25.0,14
2962171,HJ652543,09/25/2003 10:00:00 AM,018XX W GREENLEAF AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,2424,24.0,49.0,1.0,08A
3011048,HJ670259,10/04/2003 02:25:00 PM,011XX N LEAMINGTON AVE,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,STREET,True,False,1531,15.0,37.0,25.0,18
3012509,HJ713815,10/23/2003 09:15:00 PM,070XX S WOODLAWN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,321,3.0,5.0,69.0,08B
3022640,HJ730713,10/31/2003 09:03:01 PM,032XX W DOUGLAS BLVD,041A,BATTERY,AGGRAVATED: HANDGUN,ALLEY,False,False,1022,10.0,24.0,29.0,04B
3036846,HJ747371,11/08/2003 06:10:00 PM,066XX S MARQUETTE RD,0560,ASSAULT,SIMPLE,APARTMENT,False,False,321,3.0,20.0,42.0,08A
3101631,HJ826525,12/19/2003 08:00:00 AM,039XX W GEORGE ST,0820,THEFT,$500 AND UNDER,STREET,False,False,2523,25.0,30.0,21.0,06
3106225,HJ838455,12/26/2003 10:45:00 AM,012XX S WOOD ST,0810,THEFT,OVER $500,STREET,False,False,1224,12.0,2.0,28.0,06
3110777,HJ842761,12/28/2003 08:15:00 PM,100XX W OHARE ST,0870,THEFT,POCKET-PICKING,AIRPORT/AIRCRAFT,False,False,1651,16.0,41.0,76.0,06
3151364,HK147389,01/26/2004 05:30:00 PM,016XX N MOBILE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2513,25.0,29.0,25.0,06
3154079,HJ823556,12/17/2003 06:00:00 PM,100XX W OHARE ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,AIRPORT/AIRCRAFT,True,False,1651,16.0,41.0,76.0,26
3179856,HK182093,02/12/2004 05:30:00 AM,008XX W JACKSON BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1213,12.0,2.0,28.0,07
3212201,HK227828,03/08/2004 05:55:00 PM,027XX W CORTEZ ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1311,12.0,1.0,24.0,14
3247451,HK270681,03/29/2004 01:30:00 PM,006XX W KEMPER PL,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",False,False,1812,18.0,43.0,7.0,08B
3248077,HK268322,02/04/2004 12:00:00 AM,116XX S VINCENNES AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,2234,22.0,34.0,75.0,26
3248178,HK264080,03/26/2004 11:30:00 AM,068XX S STEWART AVE,0820,THEFT,$500 AND UNDER,"SCHOOL, PRIVATE, GROUNDS",False,False,722,7.0,6.0,68.0,06
3254140,HK277499,04/02/2004 08:45:00 AM,011XX N WESTERN AVE,0560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,1312,12.0,1.0,24.0,08A
3287011,HK317700,04/22/2004 01:00:00 AM,019XX W FOSTER AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,2032,20.0,47.0,4.0,17
3396846,HK450594,06/23/2004 05:06:00 PM,118XX S MICHIGAN AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,False,False,532,5.0,9.0,53.0,26
3401395,HK459653,06/27/2004 09:00:00 PM,029XX N RACINE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1932,19.0,32.0,6.0,14
3516767,HK591442,08/30/2004 03:15:00 PM,0000X N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,122,1.0,42.0,32.0,06
3539615,HK610580,09/08/2004 03:30:00 PM,006XX N RIDGEWAY AVE,0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,ALLEY,False,False,1122,11.0,27.0,23.0,08B
3551937,HK637342,09/20/2004 11:30:00 PM,080XX S SANGAMON ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,621,6.0,21.0,71.0,05
3556136,HK641110,09/22/2004 05:21:00 PM,039XX W 59TH ST,2851,PUBLIC PEACE VIOLATION,ARSON THREAT,RESIDENCE,False,False,822,8.0,13.0,62.0,26
